intersection_1_1	intersection_1_2	intersection_1_3	intersection_1_4
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	8	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
0	6	1	3
0	6	1	3
0	6	1	3
0	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	0	1	3
1	0	1	3
1	0	1	3
1	0	1	3
1	0	1	3
1	0	1	0
1	7	1	0
1	7	1	0
1	7	1	0
1	7	1	4
1	7	1	4
1	7	1	4
1	7	1	4
1	7	1	4
1	7	1	0
1	7	1	0
1	7	1	0
1	7	1	0
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	1	1	0
1	1	1	0
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	6	1	3
2	6	0	3
2	6	0	3
0	6	0	3
0	6	0	3
0	6	2	3
0	6	2	3
1	6	2	3
1	0	2	3
1	0	2	3
1	0	2	3
1	0	2	3
1	0	2	3
1	0	2	3
1	7	2	3
1	7	0	3
1	7	0	3
1	7	0	3
1	7	0	3
1	7	3	3
1	7	3	3
1	7	3	3
1	7	3	3
1	7	3	3
1	7	3	3
1	7	3	3
1	7	3	3
1	7	0	3
1	7	0	3
1	7	0	3
1	7	0	0
1	7	0	0
1	7	1	0
1	7	1	0
1	7	1	4
1	7	1	4
1	7	1	4
1	0	1	4
1	0	1	4
1	0	1	0
1	0	1	0
1	0	1	0
1	1	1	0
1	1	1	0
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	0	3
1	5	0	3
1	5	0	3
1	5	0	3
1	5	3	3
1	5	3	3
1	4	3	3
1	0	3	3
1	0	3	3
1	0	3	3
1	0	3	3
1	0	3	3
1	6	3	3
1	6	3	3
1	6	3	3
1	6	3	3
1	6	3	3
1	6	3	0
1	0	3	0
1	0	3	0
1	0	3	0
1	0	3	4
1	0	3	4
1	0	3	4
1	7	3	4
1	7	3	4
1	7	3	4
1	7	3	4
1	7	3	4
1	7	3	4
1	7	0	0
1	7	0	0
1	7	0	0
1	7	0	0
1	7	0	5
1	7	0	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	0	1	5
1	0	1	5
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	1	1	0
1	1	1	0
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	0
2	5	1	0
2	5	1	0
2	5	1	0
2	5	1	4
0	5	1	4
0	0	1	4
0	0	1	4
0	0	1	4
1	0	1	0
1	0	1	0
1	0	1	0
1	7	1	0
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	1	1	0
1	1	1	0
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	0	3
2	5	0	3
2	5	0	3
2	5	0	3
2	5	2	3
2	5	2	3
2	5	2	3
2	5	2	3
2	5	2	3
0	5	2	3
0	8	2	3
0	0	2	3
0	0	2	3
1	0	2	3
1	0	2	3
1	0	2	3
1	6	2	3
1	6	2	3
1	6	2	3
1	6	2	3
1	6	2	3
1	6	2	3
1	6	2	0
1	6	2	0
1	6	2	0
1	0	2	0
1	0	2	4
1	0	2	4
1	0	2	4
1	0	2	4
1	0	2	4
1	7	2	0
1	7	2	0
1	7	0	0
1	7	0	0
1	7	0	5
1	7	0	5
1	7	0	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	1	1	0
1	1	1	0
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	0
2	5	0	0
2	5	0	0
2	5	0	0
2	5	0	4
0	4	2	4
0	0	2	4
0	0	2	4
0	0	2	4
1	0	2	0
1	0	2	0
1	6	2	0
1	6	2	0
1	6	2	5
1	6	2	5
1	6	2	5
1	6	2	5
1	6	0	5
1	0	0	5
1	0	0	5
1	0	0	5
1	0	3	5
1	0	3	5
1	0	3	5
1	7	3	5
1	7	3	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	0	1	5
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	1	1	0
1	1	1	0
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	8	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
0	6	1	3
0	6	1	3
0	6	1	3
0	6	1	3
1	6	0	3
1	6	0	3
1	6	0	3
1	6	0	3
1	6	2	3
1	6	2	3
1	6	2	3
1	0	2	3
1	0	2	3
1	0	0	3
1	0	0	3
1	0	0	3
1	0	0	3
1	7	3	3
1	7	3	3
1	7	3	3
1	7	3	3
1	7	3	3
1	7	3	3
1	7	0	3
1	7	0	0
1	7	0	0
1	7	0	0
1	7	0	0
1	7	0	4
1	7	1	4
1	7	1	4
1	7	1	4
1	7	1	4
1	7	1	4
1	0	1	4
1	0	1	4
1	0	1	0
1	0	1	0
1	0	1	0
1	3	1	0
1	3	1	0
1	3	1	1
1	3	1	1
1	3	1	1
1	3	1	1
1	3	1	1
1	3	1	1
1	3	1	2
1	3	1	2
1	3	1	2
1	3	1	2
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	6
2	5	1	0
2	5	1	0
2	5	0	0
2	5	0	0
0	4	0	4
0	0	0	4
0	0	2	4
0	0	2	4
1	0	2	4
1	0	2	4
1	6	2	0
1	6	2	0
1	6	2	0
1	6	2	0
1	6	0	5
1	6	0	5
1	6	0	5
1	0	0	5
1	0	3	5
1	0	3	5
1	0	3	5
1	0	3	5
1	0	3	5
1	7	3	5
1	7	3	5
1	7	3	5
1	7	3	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	0	1	5
1	0	1	5
1	0	1	5
1	0	1	0
1	0	1	0
1	0	1	0
1	1	1	0
1	1	1	0
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	0	1	3
0	0	1	3
0	0	1	3
0	0	1	3
0	0	1	3
1	0	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	4
1	0	1	4
1	7	1	4
1	7	1	4
1	7	1	4
1	7	1	0
1	7	1	0
1	7	1	0
1	7	1	0
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	3	1	0
1	3	1	0
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	8	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	6	1	3
0	6	1	3
0	6	1	3
0	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	4
1	0	0	4
1	0	0	4
1	7	0	4
1	7	0	4
1	7	2	4
1	7	2	4
1	7	2	4
1	7	2	4
1	7	2	4
1	7	0	4
1	7	0	0
1	7	0	0
1	7	0	0
1	7	0	0
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	1	1	0
1	1	1	0
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	0
2	0	1	0
2	6	1	0
2	6	1	0
0	6	1	4
0	6	1	4
0	6	1	4
0	6	1	4
0	6	1	4
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	5
1	0	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	1	1	0
1	1	1	0
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	1	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	2	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	0	3
2	0	0	3
2	0	0	0
2	0	0	0
2	0	2	0
2	0	2	0
2	0	2	4
0	6	2	4
0	6	2	4
0	6	2	4
1	6	2	4
1	6	2	0
1	6	2	0
1	6	2	0
1	6	2	0
1	6	2	5
1	0	2	5
1	0	2	5
1	0	2	5
1	0	0	5
1	0	0	5
1	0	0	5
1	7	0	5
1	7	3	5
1	7	3	5
1	7	3	5
1	7	3	5
1	7	3	5
1	7	3	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	0	1	5
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	3	1	0
1	3	1	0
1	3	1	1
1	3	1	1
1	3	1	1
1	3	1	1
1	3	1	1
1	3	1	1
1	3	1	1
1	3	1	2
1	3	1	2
1	3	1	2
1	3	1	2
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	0	1	3
2	0	1	3
2	0	1	6
2	0	1	0
2	0	1	0
2	0	1	0
2	6	1	0
2	6	1	4
0	6	1	4
0	6	1	4
0	6	1	4
0	6	1	4
1	6	1	0
1	6	1	0
1	6	1	0
1	0	1	0
1	0	1	5
1	0	1	5
1	0	1	5
1	0	1	5
1	0	1	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	2	5
1	7	2	5
1	7	2	5
1	7	2	5
1	7	2	5
1	7	2	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	3	1	0
1	3	1	0
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	3	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	4	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
1	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
0	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	5	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	0	1	3
2	6	1	3
2	6	1	3
2	6	1	3
2	6	1	3
0	6	1	3
0	6	1	3
0	6	1	3
0	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	0	1	3
1	0	1	3
1	0	1	0
1	0	1	0
1	0	1	0
1	0	0	0
1	7	0	4
1	7	0	4
1	7	0	4
1	7	2	4
1	7	2	4
1	7	2	0
1	7	2	0
1	7	2	0
1	7	0	0
1	7	0	5
1	7	0	5
1	7	0	5
1	7	0	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	5
1	7	1	0
